"dept","comm","year","week","price"
"AISNE","SOISSONS",1841,11,1482
"AISNE","SOISSONS",1841,12,1575
"AISNE","SOISSONS",1841,13,1625
"AISNE","SOISSONS",1841,14,1931
"AISNE","SOISSONS",1841,15,1980
"AISNE","SOISSONS",1841,16,1993
"AISNE","SOISSONS",1841,17,1935
"AISNE","SOISSONS",1841,18,1895
"AISNE","SOISSONS",1841,19,2011
"AISNE","SOISSONS",1841,20,1911
"AISNE","SOISSONS",1841,21,1915
"AISNE","SOISSONS",1841,22,1849
"AISNE","SOISSONS",1841,23,1760
"AISNE","SOISSONS",1841,24,1807
"AISNE","SOISSONS",1842,1,1806
"AISNE","SOISSONS",1842,2,1783
"AISNE","SOISSONS",1842,3,1783
"AISNE","SOISSONS",1842,4,1819
"AISNE","SOISSONS",1842,5,1761
"AISNE","SOISSONS",1842,6,1709
"AISNE","SOISSONS",1842,7,1737
"AISNE","SOISSONS",1842,8,1795
"AISNE","SOISSONS",1842,9,1692
"AISNE","SOISSONS",1842,10,1764
"AISNE","SOISSONS",1842,11,1732
"AISNE","SOISSONS",1842,12,1970
"AISNE","SOISSONS",1842,13,1892
"AISNE","SOISSONS",1842,15,2005
"AISNE","SOISSONS",1842,16,2004
"AISNE","SOISSONS",1842,17,2122
"AISNE","SOISSONS",1842,18,2116
"AISNE","SOISSONS",1842,19,2080
"AISNE","SOISSONS",1842,20,2063
"AISNE","SOISSONS",1842,21,1983
"AISNE","SOISSONS",1842,22,1920
"AISNE","SOISSONS",1842,23,1876
"AISNE","SOISSONS",1842,24,1889
"AISNE","SOISSONS",1843,1,1915
"AISNE","SOISSONS",1843,2,1899
"AISNE","SOISSONS",1843,3,1878
"AISNE","SOISSONS",1843,4,1911
"AISNE","SOISSONS",1843,5,1901
"AISNE","SOISSONS",1843,6,1905
"AISNE","SOISSONS",1843,7,1863
"AISNE","SOISSONS",1843,8,1810
"AISNE","SOISSONS",1843,9,1823
"AISNE","SOISSONS",1843,10,1929
"AISNE","SOISSONS",1843,11,2050
"AISNE","SOISSONS",1843,12,2000
"AISNE","SOISSONS",1843,13,2115
"AISNE","SOISSONS",1843,14,2225
"AISNE","SOISSONS",1843,15,2132
"AISNE","SOISSONS",1843,16,1995
"AISNE","SOISSONS",1843,17,1773
"AISNE","SOISSONS",1843,18,1884
"AISNE","SOISSONS",1843,19,1958
"AISNE","SOISSONS",1843,20,1856
"AISNE","SOISSONS",1843,21,1760
"AISNE","SOISSONS",1843,22,1768
"AISNE","SOISSONS",1843,23,1773
"AISNE","SOISSONS",1843,24,1812
"AISNE","SOISSONS",1844,1,1806
"AISNE","SOISSONS",1844,2,1795
"AISNE","SOISSONS",1844,3,1770
"AISNE","SOISSONS",1844,4,1768
"AISNE","SOISSONS",1844,5,1792
"AISNE","SOISSONS",1844,6,1814
"AISNE","SOISSONS",1844,7,1754
"AISNE","SOISSONS",1844,8,1717
"AISNE","SOISSONS",1844,9,1739
"AISNE","SOISSONS",1844,10,1791
"AISNE","SOISSONS",1844,11,1750
"AISNE","SOISSONS",1844,12,1824
"AISNE","SOISSONS",1844,13,1806
"AISNE","SOISSONS",1844,14,1843
"AISNE","SOISSONS",1844,16,1858
"AISNE","SOISSONS",1844,17,1733
"AISNE","SOISSONS",1844,18,1674
"AISNE","SOISSONS",1844,19,1715
"AISNE","SOISSONS",1844,20,1696
"AISNE","SOISSONS",1844,21,1572
"AISNE","SOISSONS",1844,22,1549
"AISNE","SOISSONS",1844,23,1563
"AISNE","SOISSONS",1844,24,1522
"AISNE","SOISSONS",1845,1,1469
"AISNE","SOISSONS",1845,2,1503
"AISNE","SOISSONS",1845,3,1508
"AISNE","SOISSONS",1845,4,1517
"AISNE","SOISSONS",1845,5,1563
"AISNE","SOISSONS",1845,6,1596
"AISNE","SOISSONS",1845,7,1527
"AISNE","SOISSONS",1845,8,1592
"AISNE","SOISSONS",1845,9,1593
"AISNE","SOISSONS",1845,10,1672
"AISNE","SOISSONS",1845,11,1625
"AISNE","SOISSONS",1845,12,1611
"AISNE","SOISSONS",1845,13,1710
"AISNE","SOISSONS",1845,14,1761
"AISNE","SOISSONS",1845,15,1884
"AISNE","SOISSONS",1845,16,1862
